日付,始値,高値,安値,終値,前月比,前月比％,売買高(株)
07/09/28,"6,760","6,790","6,350","6,780",+20,+0.3,"134,482,900"
07/08/31,"7,200","7,410","6,130","6,760",-440,-6.1,"229,569,100"
07/07/31,"7,800","7,880","7,110","7,200",-600,-7.7,"165,211,600"
07/06/29,"7,400","7,820","7,390","7,800",+500,+6.8,"186,799,900"
07/05/31,"7,370","7,420","7,010","7,300",-20,-0.3,"205,951,600"
07/04/27,"7,620","7,640","7,080","7,320",-230,-3.0,"213,389,400"
07/03/30,"7,990","7,990","7,440","7,550",-470,-5.9,"185,315,700"
07/02/28,"7,950","8,350","7,790","8,020",+70,+0.9,"134,490,600"
07/01/31,"8,110","8,220","7,630","7,950",-10,-0.1,"162,523,300"
06/12/29,"6,990","8,000","6,860","7,960",+940,+13.4,"190,185,000"
06/11/30,"6,870","7,370","6,760","7,020",+90,+1.3,"190,452,300"
06/10/31,"6,440","7,150","6,430","6,930",+510,+7.9,"177,328,700"
06/09/29,"6,330","6,430","6,120","6,420",+50,+0.8,"119,912,800"
06/08/31,"6,000","6,520","5,940","6,370",+310,+5.1,"145,384,900"
06/07/31,"5,970","6,110","5,570","6,060",+70,+1.2,"133,293,600"
06/06/30,"6,060","6,120","5,430","5,990",+60,+1.0,"201,658,500"
06/05/31,"6,660","6,900","5,930","5,930",-730,-11.0,"202,799,200"
06/04/28,"6,450","6,950","6,430","6,660",+230,+3.6,"164,491,300"
06/03/31,"6,190","6,520","6,040","6,430",+180,+2.9,"144,949,200"
06/02/28,"6,080","6,560","5,980","6,250",+170,+2.8,"191,681,700"
06/01/31,"6,130","6,150","5,600","6,080",-40,-0.7,"163,095,200"
05/12/30,"5,810","6,180","5,600","6,120",+330,+5.7,"195,734,000"
05/11/30,"5,400","6,080","5,280","5,790",+480,+9.0,"175,452,800"
05/10/31,"5,300","5,380","4,950","5,310",+110,+2.1,"180,459,800"
05/09/30,"4,520","5,330","4,470","5,200",+700,+15.6,"143,779,400"
05/08/31,"4,260","4,570","4,160","4,500",+250,+5.9,"146,395,900"
