日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
14/01/31,"37,150","39,375","37,120","38,110",-105,-0.3,"4,425,200"
14/01/24,"38,300","39,680","37,680","38,215",-415,-1.1,"4,762,300"
14/01/17,"39,050","39,945","38,200","38,630","-2,470",-6.0,"4,358,900"
14/01/10,"42,500","42,600","39,700","41,100","-2,300",-5.3,"6,527,900"
13/12/30,"43,400","43,800","42,600","43,400",+100,+0.2,"841,000"
13/12/27,"42,800","45,350","42,150","43,300","+1,450",+3.5,"4,691,200"
13/12/20,"38,250","41,900","37,350","41,850","+3,750",+9.8,"4,965,300"
13/12/13,"38,300","38,750","36,700","38,100",+650,+1.7,"5,942,800"
13/12/06,"38,600","39,450","36,500","37,450","-1,350",-3.5,"4,601,800"
13/11/29,"37,400","39,600","36,850","38,800","+2,000",+5.4,"4,467,900"
13/11/22,"36,050","38,000","35,250","36,800","+1,200",+3.4,"4,548,400"
13/11/15,"30,900","35,750","30,650","35,600","+5,000",+16.3,"4,843,300"
13/11/08,"32,800","32,850","30,350","30,600","-2,050",-6.3,"2,569,200"
13/11/01,"32,850","34,000","32,400","32,650",+500,+1.6,"2,693,800"
13/10/25,"34,050","34,700","32,150","32,150","-1,700",-5.0,"2,979,400"
13/10/18,"33,650","34,600","33,650","33,850",+400,+1.2,"2,360,900"
13/10/11,"35,000","35,350","32,700","33,450","-1,150",-3.3,"4,255,500"
13/10/04,"36,800","37,650","34,300","34,600","-3,150",-8.3,"4,180,900"
13/09/27,"36,550","38,100","36,350","37,750","+1,000",+2.7,"2,583,400"
13/09/20,"35,650","37,200","35,150","36,750","+1,250",+3.5,"2,536,000"
13/09/13,"34,350","35,900","33,800","35,500","+2,550",+7.7,"4,670,200"
13/09/06,"32,050","34,800","31,850","32,950","+1,050",+3.3,"3,604,100"
13/08/30,"32,150","32,350","30,050","31,900",+50,+0.2,"2,560,800"
13/08/23,"32,350","32,450","30,400","31,850",-150,-0.5,"2,992,800"
13/08/16,"31,200","33,250","30,750","32,000",+350,+1.1,"2,970,100"
13/08/09,"35,300","35,600","31,300","31,650","-3,950",-11.1,"4,095,000"
13/08/02,"34,750","35,750","33,000","35,600",+150,+0.4,"3,558,700"
13/07/26,"36,800","37,150","35,450","35,450",-700,-1.9,"3,189,300"
13/07/19,"35,750","37,700","34,900","36,150",-300,-0.8,"4,157,200"
13/07/12,"37,900","38,750","36,000","36,450",-550,-1.5,"4,938,700"
13/07/05,"33,500","37,000","32,700","37,000","+3,550",+10.6,"3,431,400"
13/06/28,"32,150","33,500","29,670","33,450","+2,400",+7.7,"3,892,300"
13/06/21,"28,500","31,950","27,900","31,050","+2,110",+7.3,"5,174,200"
13/06/14,"32,500","32,550","28,540","28,940","-2,160",-6.9,"6,865,900"
13/06/07,"34,600","34,600","28,580","31,100","-3,800",-10.9,"7,571,200"
13/05/31,"36,200","38,950","33,200","34,900","-3,400",-8.9,"5,567,500"
13/05/24,"38,750","44,400","35,200","38,300",-600,-1.5,"7,013,000"
13/05/17,"37,850","39,250","37,550","38,900","+1,600",+4.3,"2,714,500"
13/05/10,"36,600","37,600","36,000","37,300","+1,950",+5.5,"2,788,200"
13/05/02,"35,600","36,450","34,900","35,350",-350,-1.0,"1,731,000"
13/04/26,"33,900","35,750","33,450","35,700","+2,200",+6.6,"3,485,100"
13/04/19,"33,550","34,400","32,550","33,500",-750,-2.2,"3,098,800"
13/04/12,"35,600","36,300","32,650","34,250",-650,-1.9,"6,310,100"
13/04/05,"30,850","38,350","30,300","34,900","+4,250",+13.9,"7,446,300"
13/03/29,"30,100","30,900","29,700","30,650","+1,320",+4.5,"3,400,000"
13/03/22,"29,620","30,800","29,290","29,330","-1,070",-3.5,"2,623,800"
13/03/15,"31,450","31,500","29,390","30,400","-1,100",-3.5,"4,459,400"
13/03/08,"25,800","31,600","25,130","31,500","+6,120",+24.1,"9,585,300"
13/03/01,"25,660","26,000","24,570","25,380",+210,+0.8,"3,824,400"
13/02/22,"25,210","25,590","24,510","25,170",+310,+1.2,"2,952,600"
13/02/15,"24,760","25,290","24,500","24,860",+790,+3.3,"2,456,100"
13/02/08,"25,170","25,310","24,010","24,070",-780,-3.1,"4,335,000"
13/02/01,"23,380","24,940","22,650","24,850","+1,640",+7.1,"2,877,100"
13/01/25,"23,490","23,500","22,270","23,210",-220,-0.9,"3,552,000"
13/01/18,"23,860","24,090","22,170","23,430",-210,-0.9,"3,674,700"
13/01/11,"22,350","23,650","22,150","23,640","+1,440",+6.5,"4,677,400"
13/01/04,"22,500","22,530","22,030","22,200",+360,+1.6,"587,300"
12/12/28,"20,350","21,970","20,290","21,840","+1,750",+8.7,"2,905,100"
12/12/21,"20,320","21,330","20,050","20,090",+170,+0.9,"4,428,000"
12/12/14,"19,290","20,260","19,140","19,920",+790,+4.1,"5,176,200"
12/12/07,"18,800","19,420","18,680","19,130",+410,+2.2,"3,164,400"
12/11/30,"18,000","18,800","17,930","18,720",+860,+4.8,"3,069,800"
12/11/22,"17,400","17,860","17,200","17,860",+690,+4.0,"1,538,600"
12/11/16,"16,800","17,310","16,620","17,170",+300,+1.8,"2,054,500"
12/11/09,"17,350","17,530","16,870","16,870",-550,-3.2,"2,029,600"
12/11/02,"17,950","18,080","17,350","17,420",-350,-2.0,"2,295,500"
12/10/26,"16,880","18,020","16,650","17,770",+860,+5.1,"2,679,100"
12/10/19,"16,100","17,070","15,810","16,910",+870,+5.4,"3,483,200"
12/10/12,"18,470","18,640","15,920","16,040","-2,430",-13.2,"4,520,300"
12/10/05,"18,120","18,500","17,500","18,470",+320,+1.8,"2,643,500"
12/09/28,"17,990","18,430","17,830","18,150",+90,+0.5,"2,640,700"
12/09/21,"18,490","18,490","17,470","18,060",-730,-3.9,"4,129,400"
12/09/14,"18,050","18,840","17,850","18,790",+680,+3.8,"3,239,400"
12/09/07,"18,270","18,400","17,750","18,110",-160,-0.9,"2,346,700"
12/08/31,"18,250","18,580","18,050","18,270",+180,+1.0,"2,283,200"
12/08/24,"17,990","18,400","17,850","18,090",+170,+0.9,"2,245,100"
12/08/17,"17,200","18,050","17,190","17,920",+700,+4.1,"2,022,000"
12/08/10,"16,460","17,680","16,420","17,220",+920,+5.6,"3,329,600"
12/08/03,"16,070","16,490","15,720","16,300",+350,+2.2,"2,965,500"
12/07/27,"16,090","16,150","15,620","15,950",-140,-0.9,"2,358,300"
12/07/20,"15,410","16,340","15,400","16,090",+760,+5.0,"2,673,300"
