日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
14/06/20,"1,654","1,726","1,633","1,704",+59,+3.6,"43,882,400"
14/06/13,"1,660","1,674","1,622","1,645",+2,+0.1,"35,182,400"
14/06/06,"1,643","1,679","1,636","1,643",+16,+1.0,"44,193,300"
14/05/30,"1,651","1,707","1,625","1,627",-5,-0.3,"55,208,000"
14/05/23,"1,651","1,652","1,588","1,632",-14,-0.9,"57,408,500"
14/05/16,"1,768","1,811","1,624","1,646",-118,-6.7,"63,697,000"
14/05/09,"1,810","1,813","1,758","1,764",-36,-2.0,"20,380,400"
14/05/02,"1,820","1,842","1,728","1,800",-36,-2.0,"39,502,100"
14/04/25,"1,931","1,957","1,824","1,836",-96,-5.0,"39,967,500"
14/04/18,"1,857","1,934","1,841","1,932",+56,+3.0,"40,514,500"
14/04/11,"1,978","2,000","1,835","1,876",-118,-5.9,"55,479,400"
14/04/04,"1,920","2,030","1,919","1,994",+97,+5.1,"97,378,600"
14/03/28,"1,815","1,905","1,772","1,897",+140,+8.0,"65,764,600"
14/03/20,"1,743","1,784","1,704","1,757",-4,-0.2,"45,116,000"
14/03/14,"1,860","1,885","1,758","1,761",-83,-4.5,"60,156,100"
14/03/07,"1,738","1,863","1,720","1,844",+64,+3.6,"61,947,300"
14/02/28,"1,764","1,797","1,745","1,780",+14,+0.8,"50,646,600"
14/02/21,"1,722","1,784","1,678","1,766",+63,+3.7,"60,814,700"
14/02/14,"1,711","1,768","1,672","1,703",+12,+0.7,"66,041,800"
14/02/07,"1,603","1,707","1,514","1,691",+65,+4.0,"96,522,100"
14/01/31,"1,705","1,718","1,609","1,626",-137,-7.8,"69,547,200"
14/01/24,"1,784","1,800","1,730","1,763",-17,-1.0,"56,348,800"
14/01/17,"1,795","1,847","1,768","1,780",-55,-3.0,"55,965,400"
14/01/10,"1,815","1,920","1,787","1,835",+9,+0.5,"91,537,100"
13/12/30,"1,807","1,835","1,795","1,826",+41,+2.3,"10,848,300"
13/12/27,"1,835","1,844","1,775","1,785",-42,-2.3,"35,546,400"
